tempo_s ax ay az
0.000000 -35.66 13.10 -0.43
0.003000 24.99 4.59 -1.37
0.006000 48.44 10.28 0.43
0.009000 28.01 14.75 1.26
0.012000 -41.31 14.36 -1.61
0.015000 -35.62 13.22 -4.98
0.018000 -2.47 9.85 3.88
0.021000 36.91 5.30 0.75
0.024000 45.93 11.34 -3.10
0.027000 -27.77 15.97 -2.43
0.030000 -43.78 15.53 1.41
0.033000 -25.73 12.08 -2.55
0.036000 13.81 6.90 0.71
0.039000 45.93 8.16 2.79
0.042000 -4.82 12.83 -0.04
0.045000 -37.15 14.44 -4.28
0.048000 -40.36 14.51 -2.86
0.051000 -12.71 10.79 1.73
0.054000 28.83 5.02 -1.77
0.057000 22.67 11.02 -1.49
0.060000 -19.61 15.49 0.43
0.063000 -42.80 14.55 0.16
0.066000 -32.64 12.79 -2.04
0.069000 2.90 5.41 2.94
0.072000 43.31 5.88 1.96
0.075000 6.04 11.61 -2.35
0.078000 -31.46 15.57 -4.20
0.081000 -43.27 15.61 -0.16
0.084000 -21.61 6.08 -1.96
0.087000 47.42 5.37 -0.90
0.090000 32.13 9.57 1.96
0.093000 -10.16 13.77 1.10
0.096000 -39.50 14.28 -4.31
0.099000 -38.25 10.40 0.51
0.102000 -7.81 4.98 2.86
0.105000 47.19 4.98 -0.55
0.108000 17.02 11.38 -2.51
0.111000 -23.85 16.24 1.26
0.114000 -43.46 14.98 -3.22
0.117000 -29.03 7.81 -2.47
0.120000 43.58 5.65 1.92
0.123000 39.70 7.10 2.79
0.126000 0.00 12.24 -1.18
0.129000 -34.44 14.71 -1.29
0.132000 -41.58 11.18 0.94
0.135000 24.87 5.45 0.08
0.138000 48.21 4.94 -1.73
0.141000 27.07 10.51 0.55
0.144000 -15.69 15.10 -1.33
0.147000 -41.34 13.22 -5.02
0.150000 -1.96 9.57 -0.90
0.153000 37.50 5.37 3.45
0.156000 44.68 5.57 0.94
0.159000 10.67 11.53 -2.51
0.162000 -28.32 15.46 1.73
0.165000 -24.67 11.77 -1.33
0.168000 15.02 6.75 -2.43
0.171000 45.93 5.37 0.27
0.174000 35.34 8.75 0.43
0.177000 -6.24 14.24 -4.04
0.180000 -37.46 14.08 -2.82
0.183000 -11.65 10.71 1.18
0.186000 29.93 5.22 1.92
0.189000 47.58 4.82 -1.53
0.192000 20.87 11.26 0.27
0.195000 -21.06 14.91 0.55
0.198000 -31.30 12.24 -4.43
0.201000 4.59 8.47 -2.24
0.204000 41.46 5.53 2.82
0.207000 41.93 6.47 -2.16
0.210000 4.28 15.22 -3.80
0.213000 -42.48 15.22 0.39
0.216000 -20.32 11.45 0.35
0.219000 21.06 5.88 -1.29
0.222000 47.54 5.14 1.18
0.225000 30.36 14.24 1.37
0.228000 -40.17 14.36 -2.59
0.231000 -36.83 13.38 -4.67
0.234000 -5.77 10.04 0.16
0.237000 34.83 4.98 0.04
0.240000 46.76 11.34 -2.90
0.243000 -25.54 16.12 -1.41
0.246000 -43.66 15.42 1.26
0.249000 -27.69 11.92 -2.51
0.252000 11.14 7.53 1.10
0.255000 44.64 7.77 2.75
0.258000 38.52 12.32 -0.51
0.261000 -35.70 14.59 -4.43
0.264000 -41.31 14.75 -1.84
0.267000 -15.65 11.18 1.14
0.270000 26.99 5.10 -1.18
0.273000 48.41 10.94 -0.27
0.276000 -17.42 15.10 1.10
0.279000 -42.29 14.51 -0.55
0.282000 -34.48 13.06 -4.63
0.285000 0.08 9.61 3.30
0.288000 39.27 5.53 1.53
0.291000 9.10 11.57 -2.75
0.294000 -29.62 16.00 -3.33
0.297000 -43.82 15.46 0.94
0.300000 -24.05 11.45 -2.31
0.303000 16.75 5.57 -0.47
0.306000 34.75 8.79 2.08
0.309000 -7.53 13.30 0.43
0.312000 -38.56 14.44 -3.73
0.315000 -39.54 14.16 0.82
0.318000 -10.51 4.79 2.28
0.321000 48.25 4.82 -1.10
0.324000 20.08 11.30 -1.92
0.327000 -22.01 15.97 0.20
0.330000 -43.46 14.79 -4.04
0.333000 -31.30 8.43 -2.47
0.336000 5.81 5.57 2.75
0.339000 42.01 6.39 2.55
0.342000 3.41 11.89 -1.92
0.345000 -32.75 15.18 -0.04
0.348000 -42.95 15.22 0.55
0.351000 -19.73 5.77 -0.86
0.354000 48.29 5.26 -1.45
0.357000 29.93 10.16 1.29
0.360000 -12.71 14.28 1.41
0.363000 -40.56 14.16 -4.28
0.366000 -36.76 9.96 -0.12
0.369000 35.42 5.02 3.26
0.372000 46.60 4.94 0.08
0.375000 14.47 11.45 -2.67
0.378000 -26.01 15.97 1.73
0.381000 -43.78 12.00 -2.47
0.384000 11.57 7.53 -2.59
0.387000 44.91 5.53 1.06
0.390000 37.93 7.88 3.14
0.393000 -2.28 12.55 -4.63
0.396000 -35.93 14.71 -1.92
0.399000 -14.91 10.94 1.37
0.402000 27.03 5.33 0.90
0.405000 47.93 4.98 -1.77
0.408000 24.44 10.87 1.49
0.411000 -17.89 14.71 -0.31
0.414000 -41.82 12.67 -5.06
0.417000 0.78 9.18 -1.29
0.420000 39.19 5.49 3.49
0.423000 43.89 5.69 -2.94
0.426000 8.00 11.41 -3.45
0.429000 -29.77 15.38 0.86
0.432000 -22.87 11.73 -0.43
0.435000 17.57 6.32 -2.43
0.438000 46.41 5.33 -0.39
0.441000 33.22 9.57 0.71
0.444000 -8.43 14.12 -3.49
0.447000 -38.21 13.73 -3.92
0.450000 -9.18 10.51 0.82
0.453000 31.89 5.14 2.71
0.456000 47.39 4.75 -2.28
0.459000 18.59 15.81 -0.47
0.462000 -42.91 15.06 0.78
0.465000 -29.42 12.16 -3.80
0.468000 7.45 8.04 -2.71
0.471000 42.01 5.57 2.71
0.474000 40.32 12.12 -1.88
0.477000 -33.62 14.83 -4.43
0.480000 -41.66 14.98 -0.78
0.483000 -18.01 11.30 0.82
0.486000 23.34 5.53 -1.57
0.489000 47.82 10.47 0.39
0.492000 28.09 14.59 1.22
0.495000 -40.72 14.36 -1.92
0.498000 -35.30 13.10 -4.90
0.501000 -2.86 9.77 3.41
0.504000 36.32 5.18 0.67
0.507000 45.35 11.38 -3.14
0.510000 -27.34 15.93 -2.28
0.513000 -43.35 15.30 1.29
0.516000 -25.65 11.96 -1.73
0.519000 13.65 6.86 0.04
0.522000 45.39 8.39 2.82
0.525000 -4.86 12.91 0.00
0.528000 -36.87 14.47 -4.43
0.531000 -40.17 14.51 -2.86
0.534000 -12.91 11.02 1.49
0.537000 28.64 4.86 -1.37
0.540000 22.83 11.14 -1.18
0.543000 -19.65 15.61 0.59
0.546000 -42.76 14.51 0.20
0.549000 -32.56 12.87 -1.92
0.552000 2.98 5.33 3.26
0.555000 43.31 5.96 1.88
0.558000 5.92 11.65 -2.31
0.561000 -31.58 15.73 -4.00
0.564000 -43.19 15.65 0.16
0.567000 -21.81 5.92 -1.53
0.570000 19.50 5.33 -0.55
0.573000 32.24 9.45 2.04
0.576000 -10.36 13.85 0.94
0.579000 -39.74 14.12 -3.61
0.582000 -38.01 13.85 0.04
0.585000 -7.77 4.75 2.79
0.588000 47.50 4.82 -0.63
0.591000 17.10 11.41 -2.47
0.594000 -24.32 16.20 1.26
0.597000 -43.74 15.18 -2.79
0.600000 -28.95 8.08 -2.28
0.603000 43.86 5.49 2.08
0.606000 40.44 6.94 2.98
0.609000 0.20 12.16 -1.37
0.612000 -34.68 14.75 -1.26
0.615000 -42.09 11.18 1.06
0.618000 24.67 5.37 0.12
0.621000 48.41 5.02 -1.41
0.624000 27.46 10.67 0.27
0.627000 -15.42 14.59 -1.45
0.630000 -41.42 13.10 -5.02
0.633000 -2.31 9.81 -0.90
0.636000 37.50 5.10 3.49
0.639000 45.82 5.22 1.22
0.642000 11.34 11.49 -2.94
0.645000 -28.13 15.34 1.02
0.648000 -43.66 11.69 -1.29
0.651000 14.36 6.86 -2.67
0.654000 45.78 5.61 0.39
0.657000 36.25 8.59 -0.20
0.660000 -5.33 14.40 -4.12
0.663000 -37.23 14.67 -3.18
0.666000 -12.40 10.87 1.06
0.669000 29.38 5.06 1.92
0.672000 47.97 4.98 -1.69
0.675000 22.01 11.02 0.16
0.678000 -20.40 14.75 0.12
0.681000 -31.89 12.43 -4.31
0.684000 3.53 8.87 -2.24
0.687000 40.64 5.65 3.22
