tempo_s ax ay az
0.522000 -38.99 23.34 3.73
0.525000 -38.21 23.50 4.82
0.528000 -9.02 12.91 -5.96
0.531000 31.19 -4.24 -0.27
0.534000 19.73 2.59 1.84
0.537000 -22.79 16.44 -2.24
0.540000 -43.97 23.50 -3.22
0.543000 -28.56 21.97 2.59
0.546000 6.67 -3.49 -7.02
0.549000 40.99 -3.41 -6.47
0.552000 4.16 7.65 2.00
0.555000 -31.34 21.22 5.14
0.558000 -43.54 23.30 -3.02
0.561000 -23.14 3.88 0.16
0.564000 48.09 -4.47 -0.35
0.567000 31.77 -1.49 -4.90
0.570000 -11.41 12.43 -4.20
0.573000 -38.32 23.65 5.81
0.576000 -36.76 13.49 -3.49
0.579000 32.36 -0.27 -5.45
0.582000 48.33 -4.71 -0.55
0.585000 19.46 2.67 2.47
0.588000 -22.75 16.67 -2.75
0.591000 -43.66 21.22 3.92
0.594000 7.30 8.83 3.06
0.597000 41.62 -3.84 -5.88
0.600000 40.83 -3.41 -6.32
0.603000 4.47 7.96 5.45
0.606000 -30.87 23.61 -2.04
0.609000 -21.46 17.93 -4.43
0.612000 21.03 4.28 1.33
0.615000 47.58 -4.51 0.67
0.618000 30.91 -1.22 -4.20
0.621000 -11.69 23.73 3.77
0.624000 -36.76 24.36 6.43
0.627000 -7.30 13.22 -3.37
0.630000 32.24 -0.94 -6.32
0.633000 48.48 -4.35 2.39
0.636000 18.51 17.22 -1.65
0.639000 -44.09 23.77 -2.82
0.642000 -30.01 21.89 4.59
0.645000 8.36 8.83 2.82
0.648000 42.33 -3.10 -6.94
0.651000 40.87 8.04 1.45
0.654000 -32.05 21.54 5.57
0.657000 -43.03 24.09 -1.45
0.660000 -19.93 17.38 -4.63
0.663000 20.91 4.12 0.94
0.666000 47.58 -1.22 -4.75
0.669000 -12.75 12.91 -4.35
0.672000 -39.50 23.65 3.61
0.675000 -35.81 23.65 5.30
0.678000 -6.43 12.87 -6.24
0.681000 31.22 -4.51 -1.29
0.684000 18.12 3.02 2.24
0.687000 -24.24 17.06 -1.37
0.690000 -43.89 23.38 -3.06
0.693000 -26.95 22.12 3.37
0.696000 9.69 -4.12 -4.75
0.699000 40.72 -3.53 -7.02
0.702000 1.69 8.08 0.98
0.705000 -32.24 21.38 6.00
0.708000 -43.19 23.42 -4.00
0.711000 -19.46 3.02 0.78
0.714000 48.76 -4.82 0.31
0.717000 30.09 -1.37 -4.24
0.720000 -13.49 13.14 -4.20
0.723000 -39.27 23.46 6.32
0.726000 -36.32 12.08 -3.53
0.729000 33.19 -1.26 -6.47
0.732000 48.33 -4.47 -1.29
0.735000 17.69 3.41 2.59
0.738000 -24.48 17.30 -3.30
0.741000 -44.29 20.91 4.12
0.744000 9.81 7.69 3.22
0.747000 43.07 -4.04 -5.37
0.750000 40.32 -3.45 -7.65
0.753000 2.39 8.12 5.69
0.756000 -31.85 22.63 0.47
0.759000 -21.69 17.10 -4.12
0.762000 22.28 2.86 0.04
0.765000 48.95 -4.94 0.94
0.768000 30.64 -1.45 -4.47
0.771000 -12.55 22.83 2.67
0.774000 -35.70 23.30 6.28
0.777000 -6.75 12.32 -2.24
0.780000 34.17 -0.90 -5.69
0.783000 47.42 -4.82 2.51
0.786000 17.26 17.14 -0.82
0.789000 -43.93 23.07 -3.10
0.792000 -27.97 20.71 3.26
0.795000 7.41 7.30 3.57
0.798000 42.68 -4.28 -7.41
0.801000 38.80 8.94 1.06
0.804000 -32.56 21.61 5.53
0.807000 -42.99 23.10 -0.55
0.810000 -20.20 16.28 -4.51
0.813000 22.87 2.98 0.82
0.816000 49.35 -1.10 -4.20
0.819000 -12.87 12.32 -5.10
0.822000 -39.27 23.34 3.53
0.825000 -35.66 23.03 6.43
0.828000 -5.61 12.00 -7.14
0.831000 34.40 -4.79 -0.75
0.834000 16.40 3.33 2.39
0.837000 -24.36 17.10 -0.78
0.840000 -44.25 22.83 -3.41
0.843000 -28.05 21.14 2.71
0.846000 9.57 -3.96 -5.45
0.849000 38.76 -2.98 -7.22
0.852000 1.29 8.75 1.02
0.855000 -32.56 21.77 6.35
0.858000 -42.56 23.10 -3.77
0.861000 -20.40 2.63 0.35
0.864000 49.62 -4.59 0.63
0.867000 29.15 -0.86 -4.31
0.870000 -11.92 13.38 -4.82
0.873000 -38.64 23.69 6.55
0.876000 -35.03 12.08 -1.84
0.879000 33.11 -1.14 -7.02
0.882000 47.11 -3.88 -1.73
0.885000 15.42 3.77 2.00
0.888000 -23.97 17.85 -3.30
0.891000 -43.27 20.59 3.41
0.894000 11.10 7.45 3.14
0.897000 43.15 -3.69 -4.39
0.900000 38.29 -3.02 -6.79
0.903000 0.47 8.98 5.88
0.906000 -32.36 23.34 0.20
0.909000 -19.73 16.16 -4.55
0.912000 23.38 3.65 0.31
0.915000 48.41 -4.63 1.61
0.918000 28.20 0.00 -4.82
0.921000 -14.24 24.12 2.47
0.924000 -35.81 23.30 6.12
0.927000 -5.57 12.12 -1.26
0.930000 33.38 -1.41 -5.96
0.933000 46.13 -3.69 2.82
0.936000 15.85 17.89 -0.55
0.939000 -43.74 23.14 -3.57
0.942000 -27.22 20.71 2.51
0.945000 11.77 7.85 2.51
0.948000 43.70 -4.28 -6.98
0.951000 37.58 8.28 -0.51
0.954000 -32.83 21.97 6.00
0.957000 -41.19 23.10 0.98
0.960000 -18.01 15.97 -4.51
0.963000 24.36 2.67 1.29
0.966000 46.84 -0.59 -2.98
0.969000 -15.53 13.53 -5.02
0.972000 -39.93 23.73 2.04
0.975000 -34.32 22.99 6.63
0.978000 -4.16 12.12 -7.06
0.981000 34.91 -4.39 -2.59
0.984000 14.59 4.71 2.82
0.987000 -26.05 18.08 0.12
0.990000 -44.52 22.91 -3.10
0.993000 -27.65 20.91 3.65
0.996000 12.55 -4.28 -3.77
0.999000 38.13 -3.37 -7.53
1.002000 -1.49 9.34 -0.43
1.005000 -33.66 21.81 5.88
1.008000 -41.03 24.36 -4.39
1.011000 -16.71 2.31 -0.82
