tempo_s ax ay az
0.528000 -14.32 19.34 -2.47
0.531000 -32.21 20.99 -1.29
0.534000 -1.02 10.12 -2.47
0.537000 35.03 -0.75 3.96
0.540000 40.95 1.18 1.88
0.543000 8.28 18.40 -2.20
0.546000 -38.36 17.46 -8.55
0.549000 -22.20 14.51 -0.04
0.552000 14.16 9.22 0.24
0.555000 41.97 1.18 3.14
0.558000 31.50 10.47 -2.31
0.561000 -35.30 21.34 0.20
0.564000 -35.66 20.95 -5.30
0.567000 -8.87 9.77 -2.98
0.570000 28.67 1.88 0.04
0.573000 43.54 3.02 3.02
0.576000 16.87 14.00 -3.57
0.579000 -38.36 17.73 -5.41
0.582000 -28.36 18.87 0.63
0.585000 5.57 10.43 -1.37
0.588000 38.91 -0.78 0.98
0.591000 37.74 11.30 -0.59
0.594000 -31.26 20.99 -0.59
0.597000 -37.62 19.14 -8.71
0.600000 -16.32 11.41 -1.41
0.603000 20.48 6.75 1.22
0.606000 43.35 4.08 3.65
0.609000 -12.91 10.71 -3.92
0.612000 -37.38 19.89 -1.57
0.615000 -33.11 21.18 -1.96
0.618000 -2.71 9.96 4.59
0.621000 33.85 1.49 0.51
0.624000 41.97 11.14 1.96
0.627000 -25.65 17.57 -2.43
0.630000 -38.76 17.34 -8.00
0.633000 -23.77 15.61 0.04
0.636000 12.20 9.96 3.33
0.639000 41.82 0.55 2.31
0.642000 -4.67 10.55 -2.20
0.645000 -34.68 21.42 0.35
0.648000 -36.40 20.44 -6.55
0.651000 -10.63 9.53 2.79
0.654000 26.91 3.49 0.39
0.657000 19.18 7.81 3.65
0.660000 -18.51 12.94 -4.28
0.663000 -38.44 18.20 -4.31
0.666000 -29.62 19.69 -2.08
0.669000 3.49 -1.02 4.28
0.672000 39.07 0.24 1.02
0.675000 3.80 11.49 0.31
0.678000 -30.20 20.55 -0.98
0.681000 -38.29 18.67 -0.71
0.684000 -18.67 7.81 0.55
0.687000 18.51 2.51 1.96
0.690000 27.62 2.82 3.65
0.693000 -10.59 10.51 -3.73
0.696000 -36.87 20.40 -3.02
0.699000 -34.28 21.34 -3.10
0.702000 -4.94 0.24 3.73
0.705000 42.68 2.31 -0.08
0.708000 12.67 10.51 2.55
0.711000 -23.77 16.40 -2.94
0.714000 -38.99 17.50 0.12
0.717000 -25.77 10.16 -1.02
0.720000 40.99 -0.20 3.69
0.723000 35.03 -0.04 2.63
0.726000 -2.24 10.67 -1.88
0.729000 -33.73 21.61 -7.30
0.732000 -36.99 10.28 -1.69
0.735000 24.60 4.43 2.16
0.738000 43.82 3.57 0.59
0.741000 21.50 6.35 3.65
0.744000 -16.36 12.00 -3.53
0.747000 -38.13 20.12 -0.27
0.750000 -31.19 10.24 -2.35
0.753000 36.60 -1.02 4.28
0.756000 40.17 0.59 0.75
0.759000 5.88 11.73 -1.77
0.762000 -28.36 19.65 -8.79
