tempo_s ax ay az
0.528000 24.52 4.90 2.71
0.531000 44.52 2.20 5.06
0.534000 22.20 6.55 -2.71
0.537000 -16.36 12.04 -6.39
0.540000 -39.34 18.75 -4.98
0.543000 -1.45 10.67 -0.63
0.546000 35.19 2.43 4.86
0.549000 41.70 1.49 4.63
0.552000 8.75 9.65 -4.20
0.555000 -27.22 16.59 -7.92
0.558000 -24.44 14.75 -4.04
0.561000 11.92 8.94 1.29
0.564000 42.21 2.63 5.65
0.567000 33.54 3.06 -1.02
0.570000 -4.43 19.30 -5.22
0.573000 -38.32 18.24 -7.18
0.576000 -13.14 11.14 -2.71
0.579000 25.42 4.86 3.02
0.582000 44.52 2.35 3.37
0.585000 21.93 12.08 -3.10
0.588000 -39.74 17.93 -6.51
0.591000 -32.99 18.67 -4.94
0.594000 -0.71 10.83 -0.27
0.597000 36.09 2.16 4.00
0.600000 41.62 9.57 1.10
0.603000 -28.09 16.36 -4.39
0.606000 -40.13 16.63 -8.12
0.609000 -23.97 14.83 -3.80
0.612000 13.10 8.83 6.12
0.615000 42.95 3.33 4.71
0.618000 -5.53 10.40 -1.26
0.621000 -36.13 19.38 -4.94
0.624000 -38.25 18.32 -7.06
0.627000 -12.40 10.87 2.86
0.630000 26.01 2.08 4.90
0.633000 20.83 6.98 3.30
0.636000 -17.93 12.32 -3.14
0.639000 -39.81 17.85 -6.63
0.642000 -32.87 18.59 -0.55
0.645000 0.00 2.28 5.06
0.648000 41.03 1.57 4.63
0.651000 7.22 9.61 1.26
0.654000 -28.64 16.71 -4.55
0.657000 -40.17 16.55 -3.92
0.660000 -23.46 8.55 0.98
0.663000 42.95 2.67 5.96
0.666000 32.24 3.41 4.75
0.669000 -6.28 10.40 -0.98
0.672000 -36.48 19.06 -6.83
0.675000 -37.74 10.94 -2.63
0.678000 26.60 4.16 3.10
0.681000 44.56 2.08 4.94
0.684000 20.04 7.30 3.22
0.687000 -18.51 12.16 -6.79
0.690000 -40.17 18.40 -4.75
0.693000 0.94 10.63 -0.12
0.696000 37.03 2.28 5.22
0.699000 40.48 1.61 4.82
0.702000 6.28 9.45 -4.82
0.705000 -29.18 16.55 -8.00
0.708000 -22.79 13.81 -3.88
