tempo_s ax ay az
0.000000 0.00 0.00 0.00
0.003000 43.38 -2.90 2.12
0.006000 25.73 4.39 -1.45
0.009000 -13.49 11.49 -0.75
0.012000 -37.54 18.36 -1.02
0.015000 -2.79 10.43 -0.35
0.018000 34.17 3.33 -2.51
0.021000 43.35 -3.06 1.26
0.024000 12.71 8.08 -1.96
0.027000 -24.99 19.30 -1.57
0.030000 -25.46 18.36 -1.73
0.033000 10.79 5.73 0.78
0.036000 42.36 0.51 -2.63
0.039000 35.85 0.86 0.20
0.042000 -2.00 20.16 -0.31
0.045000 -38.17 17.97 -1.33
0.048000 -14.12 15.14 -1.80
0.051000 23.77 4.35 -0.94
0.054000 45.62 -2.90 -1.57
0.057000 24.79 11.69 -1.80
0.060000 -38.09 21.30 -0.94
0.063000 -33.34 18.75 -0.94
0.066000 -1.33 9.65 0.12
0.069000 35.26 2.75 -0.59
0.072000 42.80 8.08 1.10
0.075000 -26.20 16.00 -1.84
0.078000 -39.54 19.42 -1.53
0.081000 -24.28 18.08 -1.65
0.084000 12.32 5.81 -0.82
0.087000 42.95 1.26 -2.86
0.090000 -3.22 9.61 0.55
0.093000 -34.05 20.48 -0.47
0.096000 -37.70 18.04 -1.45
0.099000 -12.47 14.67 -1.69
0.102000 25.77 -3.18 1.77
0.105000 22.79 5.65 -0.90
0.108000 -16.59 12.08 -1.84
0.111000 -38.48 21.14 -0.90
0.114000 -32.17 18.95 0.43
0.117000 0.63 2.55 -2.24
0.120000 41.89 -2.08 -0.78
0.123000 8.98 8.36 1.22
0.126000 -27.38 16.71 -1.61
0.129000 -39.38 19.46 -1.88
0.132000 -22.95 5.10 1.06
0.135000 43.70 -0.59 0.20
0.138000 33.26 1.88 -2.90
0.141000 -5.06 9.89 0.20
0.144000 -34.64 21.10 -1.22
0.147000 -37.23 13.81 -1.22
0.150000 27.22 3.96 -1.84
0.153000 45.58 -3.26 1.61
0.156000 21.46 6.04 -0.94
0.159000 -18.16 12.59 -1.33
0.162000 -38.40 18.95 -1.18
0.165000 2.20 8.55 0.55
0.168000 37.78 2.43 -2.16
0.171000 41.27 -1.69 -1.22
0.174000 7.22 8.79 -1.18
0.177000 -28.83 18.63 -1.65
0.180000 -39.58 17.50 -1.80
0.183000 15.93 4.79 0.47
0.186000 44.48 -0.94 0.63
0.189000 31.70 2.55 -0.12
0.192000 -6.98 21.06 -0.67
0.195000 -35.58 18.24 -1.18
0.198000 -9.53 13.02 -1.02
0.201000 28.56 3.96 -2.16
0.204000 45.35 -3.30 -0.39
0.207000 19.53 6.32 -2.67
0.210000 -19.46 20.99 -1.33
0.213000 -30.32 18.83 -1.18
0.216000 3.69 7.92 0.63
0.219000 38.83 1.96 -1.80
0.222000 40.29 -1.61 0.75
0.225000 5.65 18.20 -1.41
0.228000 -39.31 18.59 -1.61
0.231000 -20.28 16.95 -2.04
0.234000 17.61 4.59 0.94
0.237000 44.56 -1.41 -2.35
0.240000 30.75 10.20 -0.67
0.243000 -36.13 21.34 -0.75
0.246000 -36.17 18.32 -0.90
0.249000 -7.81 12.51 -1.02
0.252000 29.89 3.88 1.18
0.255000 44.95 6.90 0.20
0.258000 -20.79 13.57 -2.24
0.261000 -39.19 20.55 -1.41
0.264000 -29.30 18.83 -1.41
0.267000 5.37 7.34 -1.41
0.270000 39.42 -1.06 -1.80
0.273000 3.96 8.98 1.26
0.276000 -30.13 18.59 -1.22
0.279000 -38.87 18.48 -1.61
0.282000 -18.71 16.48 -0.63
0.285000 18.95 -1.73 1.26
0.288000 29.26 3.49 -2.43
0.291000 -9.96 10.59 -0.94
0.294000 -36.56 21.42 -0.47
0.297000 -35.42 18.36 -0.67
0.300000 -6.24 3.80 -2.63
0.303000 44.52 -3.33 0.67
0.306000 16.24 7.22 0.16
0.309000 -22.01 14.24 -2.08
0.312000 -39.23 20.16 -1.29
0.315000 -27.97 6.51 0.94
0.318000 40.48 1.45 -1.61
0.321000 38.17 -0.43 -2.39
0.324000 2.08 9.18 1.02
0.327000 -31.85 19.22 -1.49
0.330000 -38.72 16.00 -2.08
0.333000 20.67 4.51 -0.63
0.336000 45.23 -2.28 1.57
0.339000 27.07 4.31 -2.20
0.342000 -12.04 10.83 -0.63
0.345000 -37.11 18.55 -1.49
0.348000 -4.55 11.06 -0.39
0.351000 32.71 3.45 -2.24
0.354000 43.86 -3.02 0.51
0.357000 14.24 7.49 -2.39
0.360000 -23.46 19.89 -2.67
0.363000 -26.56 18.59 -1.69
0.366000 9.14 6.24 0.90
0.369000 41.42 0.94 -0.67
0.372000 36.87 0.08 0.86
0.375000 0.08 19.81 -1.14
0.378000 -32.28 18.16 -1.45
0.381000 -15.53 15.57 -1.96
0.384000 22.44 4.35 -0.94
0.387000 45.58 -2.55 -2.28
0.390000 26.09 11.10 -1.61
