tempo_s ax ay az
0.528000 27.18 1.45 3.33
0.531000 24.16 6.24 1.53
0.534000 -18.79 14.87 -1.57
0.537000 -43.19 17.14 -4.51
0.540000 -34.44 9.49 -1.41
0.543000 -1.77 4.28 3.33
0.546000 44.29 2.55 3.02
0.549000 10.98 7.10 -1.18
0.552000 -29.03 16.32 -3.18
0.555000 -45.15 14.87 -2.98
0.558000 -26.87 6.39 -0.27
0.561000 45.19 2.82 4.31
0.564000 35.81 5.84 4.20
0.567000 -4.55 10.90 -4.35
0.570000 -37.34 17.53 -4.47
0.573000 -41.38 12.98 -1.84
0.576000 26.48 4.55 1.61
0.579000 47.78 1.10 2.94
0.582000 25.65 6.28 -1.10
0.585000 -17.57 17.69 -4.35
0.588000 -35.54 16.00 -4.55
0.591000 -2.39 10.55 -0.98
0.594000 36.68 4.04 3.65
0.597000 44.60 3.37 -0.90
0.600000 10.94 16.51 -2.94
0.603000 -44.44 18.59 -3.73
0.606000 -26.91 14.67 -3.06
0.609000 12.12 6.83 0.24
0.612000 44.05 2.63 3.02
0.615000 36.52 10.98 -1.77
0.618000 -36.32 15.65 -4.51
0.621000 -42.01 18.16 -3.80
0.624000 -16.75 14.47 -1.77
0.627000 26.01 5.22 3.57
0.630000 47.54 7.85 2.75
0.633000 -17.30 14.63 -1.22
0.636000 -42.48 16.87 -4.51
0.639000 -35.46 14.98 -4.94
0.642000 -2.24 10.00 3.84
0.645000 36.17 3.92 3.77
0.648000 12.24 7.96 -0.24
0.651000 -28.28 16.44 -2.75
0.654000 -45.11 18.75 -3.41
0.657000 -27.34 14.08 0.04
0.660000 12.00 2.82 3.80
0.663000 37.34 5.02 4.16
0.666000 -3.06 10.94 -1.26
0.669000 -36.40 16.16 -4.59
0.672000 -41.15 17.34 -1.10
0.675000 -16.32 3.80 1.49
0.678000 47.86 2.04 3.61
0.681000 26.56 6.55 2.04
0.684000 -16.28 15.06 -1.22
0.687000 -42.72 17.14 -4.04
0.690000 -35.66 10.36 -1.33
0.693000 36.68 3.69 4.08
0.696000 44.60 2.35 3.69
0.699000 12.43 7.41 -0.43
0.702000 -28.24 16.59 -3.69
0.705000 -44.68 14.75 -3.22
0.708000 11.41 6.35 0.31
0.711000 43.93 3.30 3.92
0.714000 37.38 5.41 3.92
0.717000 -1.92 9.89 -4.43
0.720000 -35.70 17.14 -4.24
0.723000 -17.14 13.61 -2.12
0.726000 25.34 4.98 1.65
0.729000 48.44 2.24 2.98
0.732000 26.95 6.83 -1.26
0.735000 -16.99 17.42 -4.28
0.738000 -36.21 15.06 -4.55
0.741000 -3.49 10.67 -1.14
0.744000 35.93 4.08 2.82
0.747000 46.48 2.43 -0.20
0.750000 13.34 16.71 -2.43
0.753000 -44.91 18.91 -3.69
0.756000 -27.77 14.98 -3.73
0.759000 10.79 6.55 -0.63
0.762000 43.93 2.82 3.30
0.765000 37.81 10.24 -1.57
0.768000 -35.89 16.48 -4.12
0.771000 -42.64 18.48 -3.96
0.774000 -17.61 13.77 -1.80
0.777000 24.16 4.63 3.02
0.780000 48.01 6.12 1.65
0.783000 -16.24 14.00 -1.84
0.786000 -41.62 16.99 -4.31
0.789000 -36.21 16.08 -4.59
0.792000 -4.86 11.06 4.31
0.795000 34.91 1.18 2.51
0.798000 13.96 7.02 -0.71
0.801000 -27.18 16.48 -2.59
0.804000 -44.17 18.75 -3.41
0.807000 -28.75 14.98 0.16
0.810000 10.43 3.37 3.88
0.813000 38.36 4.71 3.65
0.816000 -0.86 10.36 -0.86
0.819000 -35.34 16.04 -3.88
0.822000 -42.91 18.32 -2.20
0.825000 -18.55 5.14 1.77
0.828000 48.05 1.73 2.98
0.831000 28.16 6.71 2.55
0.834000 -15.65 14.32 -4.24
0.837000 -41.70 16.75 -4.71
0.840000 -36.91 10.94 -1.22
0.843000 34.91 4.71 3.77
0.846000 45.82 2.39 3.65
0.849000 14.28 7.30 -2.31
0.852000 -26.60 16.32 -3.77
0.855000 -44.40 15.14 -2.94
0.858000 9.10 6.90 -0.94
0.861000 44.25 3.37 3.92
0.864000 38.25 5.26 -1.33
0.867000 0.27 9.57 -4.08
0.870000 -35.62 17.61 -4.20
0.873000 -19.06 13.81 -1.53
0.876000 22.99 5.26 1.53
0.879000 48.05 1.61 2.16
0.882000 28.16 6.86 -1.53
0.885000 -14.47 16.71 -4.00
0.888000 -36.83 15.57 -4.35
0.891000 -5.61 11.38 -0.78
0.894000 34.28 4.35 3.41
0.897000 46.52 1.84 -0.35
0.900000 14.95 16.04 -2.59
0.903000 -44.72 18.40 -3.53
0.906000 -28.79 15.02 -3.10
0.909000 8.98 7.14 3.80
0.912000 43.23 4.86 3.96
0.915000 38.76 9.49 -1.37
0.918000 -34.83 15.69 -4.20
0.921000 -43.19 18.24 -3.69
0.924000 -19.14 13.65 1.29
0.927000 22.79 2.20 3.41
0.930000 48.56 6.16 2.90
0.933000 -14.20 14.32 -1.14
0.936000 -41.38 16.67 -4.12
0.939000 -37.46 15.69 -1.18
0.942000 -5.88 3.65 3.37
0.945000 34.21 2.08 3.53
0.948000 15.38 7.26 -0.12
0.951000 -25.61 16.24 -2.00
0.954000 -44.95 18.75 -3.65
0.957000 -28.67 7.37 0.12
0.960000 9.06 3.30 3.92
0.963000 39.74 4.28 3.77
0.966000 0.55 9.69 -1.57
0.969000 -34.40 15.93 -3.80
0.972000 -43.35 14.04 -2.31
0.975000 23.26 5.10 1.14
0.978000 47.31 1.73 3.45
0.981000 29.54 6.75 3.57
0.984000 -14.28 13.81 -4.16
0.987000 -41.11 15.65 -4.90
0.990000 -6.83 11.10 -0.67
0.993000 33.15 5.02 3.57
0.996000 46.37 1.65 3.06
0.999000 15.61 7.34 -2.43
1.002000 -24.71 17.97 -3.73
1.005000 -29.85 15.26 -3.45
1.008000 7.85 7.65 -1.10
1.011000 42.48 3.88 3.80
1.014000 40.36 4.20 -1.69
1.017000 1.29 16.28 -4.24
1.020000 -43.74 18.32 -3.92
1.023000 -20.28 14.20 -2.35
1.026000 22.48 5.49 0.47
1.029000 48.09 2.31 2.39
1.032000 29.77 13.89 -1.06
1.035000 -41.11 16.99 -4.71
1.038000 -38.21 15.81 -5.18
1.041000 -7.65 11.53 -1.77
1.044000 33.26 4.47 3.14
1.047000 47.35 7.92 0.04
1.050000 -25.30 16.28 -2.43
1.053000 -44.44 18.16 -4.08
1.056000 -30.60 15.46 -3.41
1.059000 7.26 6.98 3.88
1.062000 42.40 4.28 3.84
1.065000 2.67 9.30 -1.29
1.068000 -34.05 16.67 -3.77
1.071000 -43.54 18.59 -3.84
1.074000 -21.03 13.73 0.63
1.077000 20.75 2.51 3.18
1.080000 31.07 6.47 2.63
1.083000 -12.16 14.00 -0.94
1.086000 -40.40 16.55 -4.75
1.089000 -38.52 16.36 -0.90
1.092000 -8.71 4.63 3.77
1.095000 46.99 1.96 3.26
1.098000 17.34 7.06 0.24
1.101000 -24.12 15.81 -2.12
1.104000 -44.44 17.89 -3.88
1.107000 -31.03 7.96 -0.31
1.110000 41.93 3.57 3.45
1.113000 41.31 3.26 3.30
1.116000 3.61 9.06 -1.26
1.119000 -32.71 16.32 -3.53
1.122000 -44.13 14.08 -2.08
1.125000 20.20 5.37 0.82
1.128000 48.25 1.84 3.45
1.131000 31.34 6.20 3.30
1.134000 -11.22 13.02 -4.47
1.137000 -39.89 16.20 -4.35
1.140000 -9.30 11.85 -0.86
1.143000 31.77 4.47 3.22
1.146000 47.27 1.96 4.00
1.149000 18.67 6.90 -1.88
1.152000 -23.77 17.73 -3.84
1.155000 -31.38 15.10 -4.00
1.158000 5.65 8.20 -0.51
1.161000 41.19 3.88 4.35
1.164000 41.38 4.00 -1.41
1.167000 4.00 15.97 -3.84
1.170000 -43.58 17.89 -3.84
1.173000 -22.08 15.02 -2.00
1.176000 19.18 5.77 1.22
